source_url,local_path,asset_filename,platform,page_url,product_name,product_description,price,product_name_hint,product_group_key,relationship_group_id,related_image_count,related_local_paths
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/10638.08.jpg?v=1742382281,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\art-deco-ss-white-dial-black-leather\art-deco-ss-white-dial-black-leather\10638.08.jpg,10638.08.jpg,shopify,https://latelierparis.co.za/products/art-deco-ss-white-dial-black-leather,Art Deco SS White Dial Black Leather,Stainless steel rectangular watch with a white antique dial on a black leather strap Roman numerals,10950.00,Art Deco SS White Dial Black Leather,art-deco-ss-white-dial-black-leather,shopify:art-deco-ss-white-dial-black-leather,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/17082B62.jpg?v=1736864445,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\31mm-m-band-ss-grey\31mm-m-band-s-s-grey\17082B62.jpg,17082B62.jpg,shopify,https://latelierparis.co.za/products/31mm-m-band-ss-grey,31mm M-Band S/S Grey,Stainless steel bangle watch with a silver stone dial,14950.00,31mm M-Band S/S Grey,31mm-m-band-s-s-grey,shopify:31mm-m-band-s-s-grey,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/14545B19_Redim.png?v=1716225029,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\cap-camarat-33mm-steel\cap-camarat-33mm-steel\14545B19_Redim.png,14545B19_Redim.png,shopify,https://latelierparis.co.za/products/cap-camarat-33mm-steel,Cap Camarat 33mm Steel,Mother of pearl Silver-colored line indices,15500.00,Cap Camarat 33mm Steel,cap-camarat-33mm-steel,shopify:cap-camarat-33mm-steel,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/16922BT15.png?v=1716225084,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-32mm-steel-and-yellow-gold-plated\newport-32mm-steel-and-yellow-gold-plated\16922BT15.png,16922BT15.png,shopify,https://latelierparis.co.za/products/newport-32mm-steel-and-yellow-gold-plated,Newport 32mm Steel and yellow gold plated,Blue dial with applied gold slim stick indices,16950.00,Newport 32mm Steel and yellow gold plated,newport-32mm-steel-and-yellow-gold-plated,shopify:newport-32mm-steel-and-yellow-gold-plated,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/IMG_0535.jpg?v=1716225011,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\33mm-cap-camarat-rose-gold-plated-mop\33mm-cap-camarat-rose-gold-plated-mop\IMG_0535.jpg,IMG_0535.jpg,shopify,https://latelierparis.co.za/products/33mm-cap-camarat-rose-gold-plated-mop,33mm Cap Camarat Rose Gold Plated MOP,"Rose Gold Plated, Mother of Pearl dial, 33mm",17950.00,33mm Cap Camarat Rose Gold Plated MOP,33mm-cap-camarat-rose-gold-plated-mop,shopify:33mm-cap-camarat-rose-gold-plated-mop,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/17082BP64.jpg?v=1736864374,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\31mm-m-band-gold-plated-black-dial\31mm-m-band-gold-plated-black-dial\17082BP64.jpg,17082BP64.jpg,shopify,https://latelierparis.co.za/products/31mm-m-band-gold-plated-black-dial,31mm M-Band Gold Plated Black Dial,Gold-plated bangle watch with a black stone dial,18250.00,31mm M-Band Gold Plated Black Dial,31mm-m-band-gold-plated-black-dial,shopify:31mm-m-band-gold-plated-black-dial,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/35647P15.jpg?v=1742375651,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\40mm-yg-pvd-blue-leather-chrono\40mm-yg-pvd-blue-leather-chrono\35647P15.jpg,35647P15.jpg,shopify,https://latelierparis.co.za/products/40mm-yg-pvd-blue-leather-chrono,40mm YG PVD Blue Leather Chrono,"40mm Yellow Gold plated casing on a blue leather strap Blue chrono dial, date at 6 o clock",18750.00,40mm YG PVD Blue Leather Chrono,40mm-yg-pvd-blue-leather-chrono,shopify:40mm-yg-pvd-blue-leather-chrono,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/IMG_0533.jpg?v=1716224994,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\32mm-gold-plated-newport-blue\32mm-gold-plated-newport-blue\IMG_0533.jpg,IMG_0533.jpg,shopify,https://latelierparis.co.za/products/32mm-gold-plated-newport-blue,32mm Gold plated Newport blue,"32mm Gold plated ladies watch with blue dial, Newport Slim",19750.00,32mm Gold plated Newport blue,32mm-gold-plated-newport-blue,shopify:32mm-gold-plated-newport-blue,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/IMG_0528.jpg?v=1716225026,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\galet-315mm-steel-and-yellow-gold-plated\galet-31-5mm-steel-and-yellow-gold-plated\IMG_0528.jpg,IMG_0528.jpg,shopify,https://latelierparis.co.za/products/galet-315mm-steel-and-yellow-gold-plated,Galet 31.5mm Steel and yellow gold plated,Mother of pearl dial with diamond indices,19950.00,Galet 31.5mm Steel and yellow gold plated,galet-31-5mm-steel-and-yellow-gold-plated,shopify:galet-31-5mm-steel-and-yellow-gold-plated,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/L3-376-4-96-6_SOL.jpg?v=1732203264,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\295mm-ss-conquest-blue\29-5mm-ss-conquest-blue\L3-376-4-96-6_SOL.jpg,L3-376-4-96-6_SOL.jpg,shopify,https://latelierparis.co.za/products/295mm-ss-conquest-blue,29.5mm SS Conquest blue,"Stainless steel, blue dial, quartz. 29.5mm.",21200.00,29.5mm SS Conquest blue,29-5mm-ss-conquest-blue,shopify:29-5mm-ss-conquest-blue,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/L37594583.jpg?v=1741260678,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\41mm-ss-conquest-black-leather\l37594583\L37594583.jpg,L37594583.jpg,shopify,https://latelierparis.co.za/products/41mm-ss-conquest-black-leather,41mm SS Conquest Black Leather,"41mm stainless steel casing Black dial,date at 3 o clock, black leather strap",21200.00,41mm SS Conquest Black Leather,l37594583,shopify:l37594583,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/37688B35.png?v=1716225087,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-43mm-steel\newport-43mm-steel\37688B35.png,37688B35.png,shopify,https://latelierparis.co.za/products/newport-43mm-steel,Newport 43mm Steel,"Dark blue dial and subdials with silver accents ,Steel",21500.00,Newport 43mm Steel,newport-43mm-steel,shopify:newport-43mm-steel,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/35664AP24B.png?v=1716225081,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-42mm-steel-mesh\newport-42mm-steel-mesh\35664AP24B.png,35664AP24B.png,shopify,https://latelierparis.co.za/products/newport-42mm-steel-mesh,Newport 42mm Steel Mesh,Black with silver subdials and white accents,23950.00,Newport 42mm Steel Mesh,newport-42mm-steel-mesh,shopify:newport-42mm-steel-mesh,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/37688-G33TCA-Herbelin.jpg?v=1716225002,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\41mm-newport-chrono-black-rubber\41mm-newport-chrono-black-rubber\37688-G33TCA-Herbelin.jpg,37688-G33TCA-Herbelin.jpg,shopify,https://latelierparis.co.za/products/41mm-newport-chrono-black-rubber,41mm Newport Chrono Black Rubber,"Newport, chronograph, black rubber strap, steel casing, gold plated indices",24250.00,41mm Newport Chrono Black Rubber,41mm-newport-chrono-black-rubber,shopify:41mm-newport-chrono-black-rubber,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/37688TRG33CA.jpg?v=1716225063,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-43mm-steel-and-black\newport-43mm-steel-and-black\37688TRG33CA.jpg,37688TRG33CA.jpg,shopify,https://latelierparis.co.za/products/newport-43mm-steel-and-black,Newport 43mm steel and black,Black dial and subdials with rose gold accents,24950.00,Newport 43mm steel and black,newport-43mm-steel-and-black,shopify:newport-43mm-steel-and-black,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/1768A15CB.png?v=1716225066,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-auto-blue-rubber\newport-auto-blue-rubber\1768A15CB.png,1768A15CB.png,shopify,https://latelierparis.co.za/products/newport-auto-blue-rubber,Newport Auto blue rubber,42mm steel blue dial. Blue rubber,25950.00,Newport Auto blue rubber,newport-auto-blue-rubber,shopify:newport-auto-blue-rubber,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/1768B15.png?v=1716225091,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-auto-blue\newport-auto-blue\1768B15.png,1768B15.png,shopify,https://latelierparis.co.za/products/newport-auto-blue,Newport Auto blue,42mm Steel blue dial,25950.00,Newport Auto blue,newport-auto-blue,shopify:newport-auto-blue,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/35688-B89-Herbelin.png?v=1716225111,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-34mm-steel\newport-34mm-steel\35688-B89-Herbelin.png,35688-B89-Herbelin.png,shopify,https://latelierparis.co.za/products/newport-34mm-steel,Newport 34mm Steel,Mother of pearl dial and subdials with diamonds,25950.00,Newport 34mm Steel,newport-34mm-steel,shopify:newport-34mm-steel,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/35688-BTR89-Herbelin.png?v=1716225042,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\newport-34mm-steel-and-rose-gold-plated\newport-34mm-steel-and-rose-gold-plated\35688-BTR89-Herbelin.png,35688-BTR89-Herbelin.png,shopify,https://latelierparis.co.za/products/newport-34mm-steel-and-rose-gold-plated,Newport 34mm Steel and Rose gold plated,Mother of pearl dial and white/rose gold subdials with diamond indices,27950.00,Newport 34mm Steel and Rose gold plated,newport-34mm-steel-and-rose-gold-plated,shopify:newport-34mm-steel-and-rose-gold-plated,0,
https://cdn.shopify.com/s/files/1/0721/8633/1415/files/L4.209.2.11.2_SOL.jpg?v=1741186437,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\24mm-la-grande-classique-yg-pvd-black-leather\24mm-la-grande-classique-yg-pvd-black-leather\L4.209.2.11.2_SOL.jpg,L4.209.2.11.2_SOL.jpg,shopify,https://latelierparis.co.za/products/24mm-la-grande-classique-yg-pvd-black-leather,24mm La Grande Classique YG PVD Black leather,"24mm Yellow gold plated case on a black alligator strap, white roman dial",28600.00,24mm La Grande Classique YG PVD Black leather,24mm-la-grande-classique-yg-pvd-black-leather,shopify:24mm-la-grande-classique-yg-pvd-black-leather,1,C:\Users\Lil Steez-E\Pictures\product-crawler\shopify_downloads4\luxury-watches-1\24mm-la-grande-classique-yg-pvd-black-leather\24mm-la-grande-classique-yg-pvd-black-leather\L4.209.2.11.2_FACE.jpg
